date,close1,close2,normalizedLogClose1,normalizedLogClose2,alpha,beta,spread
2017-09-20,103.655,19.595,4.6005877103979715,2.9563727020008694,3.4922177924297895,-9.755871564178484,4.032161923595289
2017-09-21,103.715,19.765,4.643394548215442,3.0789276081843133,4.315976091484405,-11.819118004236861,3.173934608117543
2017-09-22,104.345,19.945,5.091377095660763,3.2075479804393465,4.854795683394075,-13.16728290811717,2.6866699140616106
2017-09-25,103.645,19.855,4.59345082848979,3.143383549450898,5.470526436931227,-14.743725552964321,2.1412135727682546
2017-09-26,104.345,19.885,5.091377095660763,3.16480395278577,6.110209894077963,-16.419053595460987,2.172814265993093
2017-09-27,106.345,19.875,6.495829190442855,3.157667411162928,6.901748114275797,-18.520239000744457,3.222643090683434
2017-09-28,105.685,19.965,6.035301405743905,3.2217674198126285,7.554211635644947,-20.228699782447997,1.9260882581015437
2017-09-29,104.545,19.955,5.233028306392914,3.2146594815642207,8.0658016178866,-21.59698755370031,0.9012102127380359
2017-10-02,105.78,20.125,6.101766396737609,3.3350127759596844,8.587749660673499,-23.036645929956983,0.4981574916050313
2017-10-03,105.09,20.095,5.617656841035844,3.3138480115466744,8.879119389535298,-23.85560451193667,0.049209219675447
2017-10-04,105.695,20.265,6.0423005334736795,3.4333663375969126,8.874775243788239,-23.839637681067394,-0.5884163612198989
2017-10-05,106.475,20.345,6.586202207224996,3.489263753207553,8.739944728430498,-23.4548374654498,-0.4549326732751702
2017-10-06,109.665,20.595,8.769911815436762,3.662537089769294,8.645573223711441,-23.175965015580644,0.2811442368579691
2017-10-09,110.535,20.565,9.354448820676469,3.6418556802075193,8.696238312226583,-23.286126586078545,0.9701305129343822
2017-10-10,110.795,20.575,9.528245340681984,3.6487528336963275,8.804769523170961,-23.549678188958236,0.951495781927111
2017-10-11,110.945,20.405,9.628327137657502,3.5310427609118484,8.91731040409575,-23.8487294698143,1.989652258285595
